各教育程度別無工作經驗者每月平均經常性薪資(平均薪資)(單位：元),,,,,,,,,,,,,,,,,,
,總平均,,,國中及以下,,,高中或高職,,,專科,,,大學,,,研究所及以上,,
,102,103,104,102,103,104,102,103,104,102,103,104,102,103,104,102,103,104
住宿及餐飲業,"22,521 ","23,013 ","23,734 ","19,998 ","20,689 ","21,845 ","21,182 ","21,506 ","22,559 ","22,765 ","22,976 ","23,714 ","24,148 ","24,646 ","25,167 ","27,426 ","27,313 ","28,349 "
　　專業人員,"28,489 ","29,250 ","29,405 ",－,－,－,－,－,－,－,－,－,"27,584 ","28,768 ","28,582 ","30,341 ","30,107 ","30,938 "
　　技術員及助理專業人員,"25,607 ","25,590 ","26,813 ",－,－,－,－,－,－,"24,818 ","25,044 ","25,802 ","25,921 ","25,633 ","26,945 ","26,498 ","26,358 ","28,439 "
　　事務支援人員,"23,220 ","23,868 ","24,311 ",－,－,－,"21,708 ","22,277 ","23,266 ","22,934 ","23,311 ","23,729 ","23,904 ","24,697 ","24,786 ","25,686 ","25,934 ","26,623 "
　　服務及銷售工作人員,"21,424 ","21,647 ","22,765 ","20,282 ","20,992 ","22,212 ","21,055 ","21,108 ","22,329 ","21,860 ","21,869 ","22,943 ","22,233 ","22,564 ","23,548 ",－,－,－
　　技藝、機械設備操作及組裝人員,"23,943 ","24,046 ","24,946 ",－,－,－,"23,026 ","23,291 ","23,868 ","24,124 ","24,197 ","24,910 ","25,097 ","24,823 ","26,276 ",－,－,－
　　基層技術工及勞力工,"20,053 ","20,671 ","21,800 ","19,648 ","20,327 ","21,415 ","20,361 ","20,941 ","22,091 ",－,－,－,－,－,－,－,－,－
金融及保險業,"29,768 ","30,379 ","30,794 ","22,998 ","22,636 ","22,578 ","24,385 ","24,676 ","24,971 ","26,551 ","26,860 ","26,933 ","30,165 ","30,577 ","30,787 ","35,046 ","35,717 ","35,934 "
　　專業人員,"35,018 ","35,898 ","36,045 ",－,－,－,－,－,－,－,－,－,"33,285 ","33,642 ","33,706 ","36,943 ","38,123 ","38,425 "
　　技術員及助理專業人員,"30,883 ","31,242 ","31,037 ",－,－,－,－,－,－,"27,216 ","27,364 ","27,155 ","30,220 ","30,564 ","30,495 ","35,134 ","35,119 ","35,011 "
　　___銧岸H員,"28,390 ","28,854 ","29,455 ",－,－,－,"24,047 ","23,967 ","25,119 ","26,166 ","26,570 ","27,069 ","28,673 ","29,070 ","29,447 ","33,136 ","33,743 ","34,185 "
　　服務及銷售工作人員,"25,323 ","25,925 ","26,184 ","23,198 ","22,688 ","22,903 ","23,439 ","24,288 ","24,117 ","25,298 ","25,668 ","25,691 ","27,067 ","28,074 ","28,213 ",－,－,－
