規定員工每日工作時數--按事業單位數計算(092)(單位：小時),,,,
,平均規定每日工作時數,,,
,92,93,94,95
住宿及餐飲業,8 ,8 ,8 ,8 
金融、保險業,8 ,8 ,8 ,8 
醫療保健服務業,8 ,7 ,8 ,7 
文化、運動及休閒服務業,8 ,8 ,8 ,8 
