規定員工每日工作時數--按事業單位數計算(097)(單位：小時),,,
,平均規定每日工作時數,,
,97,98,99
住宿及餐飲業,8 ,8 ,8 
金融及保險業,8 ,8 ,8 
醫療保健及社會工作服務業,8 ,8 ,8 
藝術、娛樂及休閒服務業,8 ,8 ,8 
