各教育程度別無工作經驗者每月平均經常性薪資(平均薪資)(單位：元),,,,,,,,,,,,,,,,,,,,,,,,
,總平均,,,,國中及以下,,,,高中或高職,,,,專科,,,,大學,,,,研究所及以上,,,
　　服務工作人員及售貨員,"21,626 ","23,112 ","21,850 ","22,374 ","19,166 ","19,856 ","20,030 ","20,399 ","20,527 ","21,673 ","20,830 ","21,333 ","21,833 ","23,401 ","22,678 ","23,065 ","22,970 ","24,976 ","24,504 ","24,822 ","23,986 ","27,351 ",－,－
　　技術工及機械設備操作工,"24,410 ","25,275 ","23,494 ","24,674 ","21,124 ","21,270 ","20,767 ","21,896 ","23,696 ","23,698 ","22,630 ","23,238 ","24,759 ","25,833 ","24,554 ","25,477 ","25,562 ","27,454 ","25,994 ","27,642 ","26,763 ","28,961 ",－,－
　　非技術工及體力工,"19,423 ","19,914 ","19,351 ","19,348 ","18,893 ","19,227 ","18,679 ","18,632 ","19,918 ","20,591 ","19,880 ","19,897 ",－,－,－,－,－,－,－,－,－,－,－,－
文化、運動及休閒服務業,"22,929 ","23,061 ","22,527 ","22,465 ","18,211 ","17,971 ","18,291 ","18,387 ","20,433 ","20,145 ","19,798 ","19,811 ","23,247 ","23,173 ","22,549 ","22,659 ","25,197 ","25,495 ","25,286 ","24,871 ","26,343 ","27,847 ","29,243 ","28,316 "
　　專業人員,"27,800 ","27,933 ","27,838 ","27,073 ",－,－,－,－,－,－,－,－,"25,830 ","25,691 ","25,366 ","24,992 ","28,010 ","28,332 ","28,002 ","27,464 ","29,599 ","30,732 ","31,762 ","30,116 "
　　技術員及助理專業人員,"24,724 ","24,485 ","24,098 ","24,054 ",－,－,－,－,"21,999 ","21,287 ","21,066 ","20,942 ","24,176 ","23,874 ","23,293 ","23,490 ","25,907 ","26,008 ","25,846 ","25,399 ","26,923 ","28,304 ","28,924 ","28,087 "
　　事務工作人員,"22,089 ","22,221 ","21,827 ","21,906 ","17,857 ","17,592 ","18,096 ","18,435 ","20,079 ","19,696 ","19,399 ","19,956 ","21,972 ","22,126 ","21,642 ","21,720 ","24,165 ","24,434 ","24,211 ","23,721 ","25,158 ","26,976 ","26,992 ","26,688 "
　　服務工作人員及售貨員,"20,754 ","20,913 ","19,484 ","19,730 ","18,158 ","17,790 ","17,568 ","18,281 ","19,618 ","19,514 ","18,837 ","18,735 ","21,166 ","20,989 ","20,081 ","20,503 ","22,479 ","22,851 ","21,832 ","22,091 ","23,325 ","25,138 ",－,－
　　技術工及機械設備操作工,"23,314 ","22,790 ","22,554 ","22,162 ","20,002 ","19,390 ","20,420 ","20,066 ","22,625 ","21,453 ","22,130 ","21,551 ","23,865 ","22,848 ","23,153 ","23,004 ","24,502 ","24,474 ","24,956 ","23,903 ","25,870 ","26,881 ",－,－
　　非技術工及體力工,"18,085 ","18,259 ","18,274 ","18,240 ","17,580 ","17,487 ","17,855 ","17,599 ","18,591 ","19,036 ","18,681 ","18,792 ",－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,
各教育程度別無工作經驗者每月平均經常性薪資(女性薪資)(單位：元),,,,,,,,,,,,,,,,,,,,,,,,
,總平均,,,,國中及以下,,,,高中或高職,,,,專科,,,,大學,,,,研究所及以上,,,
,92,93,94,95,92,93,94,95,92,93,94,95,92,93,94,95,92,93,94,95,92,93,94,95
住宿及餐飲業,"20,472 ","20,736 ","20,679 ","20,740 ","17,317 ","18,092 ","18,376 ","18,349 ","18,970 ","19,011 ","19,513 ","19,455 ","21,106 ","20,915 ","21,381 ","21,431 ","22,374 ","22,619 ","22,985 ","22,982 ","23,110 ","24,458 ","25,831 ","26,159 "
　　專業人員,"25,792 ","25,463 ","25,056 ","25,278 ",－,－,－,－,－,－,－,－,"24,303 ","23,575 ","24,346 ","24,777 ","26,048 ","25,613 ","25,750 ","25,462 ","27,145 ","27,752 ","25,091 ","26,250 "
　　技術員及助理專業人員,"23,119 ","22,796 ","25,100 ","23,953 ",－,－,－,－,"20,989 ","20,118 ","23,300 ","21,959 ","23,206 ","22,205 ","24,994 ","23,558 ","23,711 ","23,991 ","26,060 ","24,985 ","24,666 ","25,668 ","27,153 ","26,165 "
　　事務工作人員,"20,144 ","20,609 ","20,905 ","21,492 ","16,834 ","18,074 ","18,756 ","19,359 ","18,701 ","18,903 ","19,467 ","19,822 ","20,350 ","20,505 ","20,970 ","21,238 ","21,841 ","22,156 ","22,738 ","23,485 ","22,448 ","24,294 ","25,381 ","26,108 "
