各教育程度別無工作經驗者每月平均經常性薪資(平均薪資)(單位：元),,,,,,,,,,,,,,,,,,
,總平均,,,國中及以下,,,高中或高職,,,專科,,,大學,,,研究所及以上,,
　　服務工作人員及售貨員,"19,602 ","20,034 ","20,229 ","18,510 ","18,612 ","18,667 ","19,317 ","19,272 ","19,869 ","20,143 ","20,669 ","20,294 ","20,743 ","21,843 ","21,984 ",－,－,－
　　技術工及機械設備操作工,"22,012 ","22,320 ","22,102 ","21,699 ","20,548 ","20,306 ","21,334 ","21,943 ","21,850 ","22,840 ","22,699 ","22,193 ","23,039 ","24,303 ","24,592 ",－,－,－
　　非技術工及體力工,"18,604 ","19,806 ","19,188 ","18,246 ","19,588 ","18,788 ","19,026 ","20,012 ","19,468 ",－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,
各教育程度別無工作經驗者每月平均經常性薪資(女性薪資)(單位：元),,,,,,,,,,,,,,,,,,
,總平均,,,國中及以下,,,高中或高職,,,專科,,,大學,,,研究所及以上,,
,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99
住宿及餐飲業,"21,461 ","21,392 ","21,710 ","18,748 ","18,494 ","18,909 ","19,945 ","19,599 ","19,818 ","22,025 ","21,906 ","22,191 ","23,657 ","23,441 ","23,540 ","30,520 ","27,821 ","27,970 "
　　專業人員,"28,857 ","27,322 ","28,774 ",－,－,－,－,－,－,"27,401 ","25,996 ","27,744 ","28,345 ","27,285 ","28,874 ","32,537 ","29,405 ","30,270 "
　　技術員及助理專業人員,"25,629 ","24,960 ","25,721 ",－,－,－,"23,199 ","21,908 ","23,346 ","24,801 ","24,415 ","25,123 ","26,568 ","26,013 ","26,323 ","29,359 ","27,876 ","28,237 "
　　事務工作人員,"22,202 ","21,934 ","21,899 ","20,263 ","19,640 ","18,251 ","20,420 ","20,454 ","19,872 ","22,213 ","21,745 ","21,917 ","24,066 ","22,820 ","23,395 ","29,198 ","26,272 ","26,172 "
